name,price,stock,description,warranty_period,manufacturer_id,category_id
Vacuum Sealer Machine,89.99,72,Seal food and maintain freshness longer.,9,91,86
Solar Charger,39.99,48,Portable solar charger for outdoor adventures.,9,98,98
Almond Crunch Granola Bars,3.49,85,Nutty granola bars for healthy snacking.,12,6,40
Cabbage Slaw Mix,2.29,71,Fresh cabbage and carrot slaw mix for salads.,12,79,86
Wall Art Stickers,19.99,91,Removable wall art stickers for home decoration.,3,40,65
Wireless Charging Station,39.99,38,Charge multiple devices with this sleek charging station.,3,76,53
Gingerbread House Kit,6.99,4,Everything you need to build a festive gingerbread house.,3,34,53
Car Escape Tool,12.99,29,Multi-functional tool for emergency situations in the car.,3,54,26
Apple Sauce,2.19,38,"Unsweetened apple sauce, great for snacks or baking.",11,88,55
Lightweight Travel Backpack,39.99,9,Compact and portable backpack for day trips and travel.,7,91,18
Honey Nut Cheerios,4.29,60,Classic cereal made with whole grains and honey.,8,18,7
Adjustable Yoga Mat Strap,14.99,94,Convenient strap for carrying yoga mats to class.,10,27,32
Sweet Pea Hummus,4.29,86,Creamy hummus made with sweet peas and tahini.,11,60,94
Hibiscus Tea Bags,3.79,41,Herbal tea bags made from dried hibiscus flowers.,10,66,66
Self-Stirring Mug,19.99,19,Automated stirring for your drinks with just a press of a button.,9,2,73
Pet Water Fountain with Filtration,39.99,95,"Continuous stream of fresh water for pets, promoting hydration.",9,40,10
Pest Control Traps,22.99,7,Non-toxic traps for catching household pests safely.,2,46,69
Multifunctional Baby Bottle Warmer,39.99,88,Warmer for heating baby bottles and food jars.,1,62,7
Portable Hammock,27.99,8,Lightweight hammock for easy setup anywhere.,3,8,60
Almond Flour,5.99,93,"Gluten-free almond flour, perfect for baking.",11,56,85
Kids' Gardening Tools Set,22.99,62,Fun and colorful gardening tools designed for children.,4,67,23
Peach Halves (canned),2.49,69,"Sweet peach halves packed in juice, great for desserts.",2,84,76
Crafting Kit,29.99,22,Complete crafting kit for kids and adults.,12,18,20
Organic Granola Cereal,5.99,70,Crunchy granola made with organic oats,2,93,75
Electric Milk Frother,19.99,72,Handheld frother for creating frothed milk for coffee.,11,64,8
Almond Milk,3.29,49,"Deliciously creamy almond milk, perfect for smoothies.",2,83,15
Rice Pudding,2.29,82,Creamy dessert made with rice and cinnamon.,2,39,30
Italian Herbal Seasoning,1.99,6,A fragrant blend of Italian herbs for pasta sauces and marinades.,10,15,86
Honey Roasted Almonds,4.99,59,Sweet and crunchy roasted almonds.,7,29,43
Sesame Oil,3.99,38,Nutty-scented oil for stir-fry and marinades.,10,23,52
Spicy Avocado Salsa,4.49,8,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",3,100,73
Portable Bluetooth Keyboard,39.99,53,Compact keyboard for tablets and smartphones.,9,3,88
Outdoor Adventure Backpack,59.99,53,Durable backpack for hiking or travel.,1,90,81
Dog Training Collar,39.99,23,Rechargeable training collar for effective behavior training.,6,73,93
Wireless Wi-Fi Extender,49.99,84,Boosts your Wi-Fi coverage for better connectivity.,3,50,8
Maple Almond Yogurt,1.89,87,Creamy yogurt made with maple and almond flavors.,5,10,53
Wall-Mounted Wine Rack,39.99,84,Stylish and modern holder for storing wine bottles on walls.,12,61,93
Pet Tracking Collar,59.99,78,GPS pet collar that helps locate your pet via smartphone app.,7,98,79
Bamboo Charcoal Air Purifier Bags,12.99,7,Natural air purifiers to absorb odors and moisture.,9,7,75
Vegetable Sushi Rolls,5.99,45,Fresh sushi rolls filled with a variety of vegetables.,9,48,75
Granola Cereal,4.49,59,"Crunchy granola with oats, nuts, and honey.",3,87,37
Cream Cheese,2.69,29,"Smooth and creamy, ideal for spreads or baking.",4,49,36
Fitbit Activity Tracker,99.99,25,Advanced wristband that tracks daily activities and sleep.,11,22,76
Vegan Cheese,4.99,26,Dairy-free cheese alternative for your favorite dishes.,5,42,95
Pasta Maker Machine,59.99,77,Manual pasta maker for creating fresh pasta at home.,11,70,45
Wildflower Honey,4.99,10,Natural honey sourced from wildflowers.,4,72,90
Electric Milk Frother,19.99,68,Handheld frother for creating frothed milk for coffee.,7,47,84
Vegetable Stir-Fry Sauce,3.49,60,Savory sauce for vegetable and meat stir-fries.,2,47,85
White Rice,1.49,55,"Plain white rice, a staple for any meal.",9,14,54
Sunflower Seeds,2.99,5,Salted sunflower seeds perfect for snacking.,10,20,100
Car Phone Mount,15.99,98,Adjustable phone mount for car dashboard.,1,86,9
Aged White Cheddar Popcorn,2.99,9,Light and fluffy popcorn coated in aged white cheddar.,9,30,66
Vegan Protein Powder,34.99,49,Plant-based protein powder for post-workout recovery.,3,24,26
Smart LED Desk Lamp,39.99,58,Adjustable lamp with multiple brightness levels and colors.,5,8,5
Infrared Space Heater,99.99,25,Energy-efficient infrared heater for home use.,4,88,34
Non-Toxic Crayons for Kids,10.99,77,Safe and vibrant crayons for children's art projects.,12,2,32
Beef Stroganoff Mix,5.49,64,Everything you need to create a hearty beef stroganoff.,1,3,62
V-Neck Sweater,49.99,32,Classic V-neck sweater crafted from soft wool for warmth and style.,6,31,52
White Rice,1.49,54,"Plain white rice, a staple for any meal.",12,3,92
Inspirational Wall Art,24.99,46,Quote wall art to inspire and motivate.,2,29,45
Rechargeable Laptop Battery Pack,49.99,32,Portable battery pack to charge laptops while on the move.,6,59,16
Tailored Blazer,99.99,52,Sharp tailored blazer perfect for office wear and professional events.,12,37,31
Classic Black Trousers,54.99,23,Timeless black trousers for a smart and sophisticated look.,6,26,98
Pet Grooming Gloves,9.99,52,Gentle grooming gloves for shedding pets.,6,5,95
Peanut Butter Cookies,3.49,22,Soft and chewy cookies made with creamy peanut butter.,11,82,57
Sea Salt Caramel Brownie,2.49,34,Moist brownie topped with sea salt and caramel drizzle.,8,8,12
Basketball,29.99,43,Official size basketball for indoor and outdoor play.,6,76,22
Caramel Sauce,3.49,55,Rich sauce for desserts and ice cream.,5,72,40
Fitness Balance Ball,24.99,62,Stability ball for Pilates and yoga workouts.,2,24,7
Pet Food Storage Container,24.99,30,Airtight container to keep pet food fresh.,7,57,98
White Rice,1.49,75,"Plain white rice, a staple for any meal.",5,74,48
Coconut Flakes,3.29,91,Unsweetened coconut flakes for baking and topping.,1,94,62
Taro Chips,3.59,63,"Crispy chips made from taro root, a wonderful snack.",6,16,17
Mini Food Processor,39.99,11,Compact food processor for quick meal prep.,4,43,69
Pumpkin Pie Spice,2.99,89,A blend of spices that brings the taste of fall to your baked goods.,6,96,4
Throw Pillow Covers,22.99,37,Set of decorative pillow covers to enhance your home decor.,2,2,78
Creamy Spinach Dip,5.99,50,"Deliciously creamy spinach dip, perfect for parties.",3,22,21
Pleated Midi Dress,79.99,34,"A stylish midi dress with stylish pleats, suitable for any occasion.",6,31,9
Scent Diffuser Oil,14.99,19,Essential oil blends for a soothing atmosphere in your home.,4,82,16
Mediterranean Couscous Salad,5.49,22,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",12,98,26
Mediterranean Flatbread,3.5,86,"Artisan bread topped with olives, feta, and herbs, perfect for sharing.",4,2,48
Dark Chocolate Covered Almonds,7.19,48,Roasted almonds dipped in rich dark chocolate.,9,39,77
Sweet Chili Dipping Sauce,2.99,88,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,7,98,79
Fleece Throw Blanket,29.99,74,"Super soft fleece blanket, perfect for coziness.",11,33,85
Foam Muscle Roller,24.99,80,Relieve muscle tension and soreness with this foam roller.,8,4,68
Salsa,3.49,22,"Fresh and zesty salsa, perfect for nachos.",10,5,45
Instant Read Meat Thermometer,24.99,45,Fast and accurate thermometer for grilling and cooking.,6,53,49
Canvas High-Top Sneakers,49.99,84,Trendy high-top canvas sneakers for a stylish streetwear look.,2,60,79
Toilet Paper (12 rolls),8.99,42,Soft and strong toilet paper for everyday use.,12,88,84
Portable Speaker Stand,39.99,29,Adjustable stand for portable speakers and devices.,9,90,94
Bamboo Toothbrush,5.99,80,Eco-friendly bamboo toothbrush for sustainable living.,7,88,82
Cacao Powder,4.49,17,Unsweetened cacao powder for baking and smoothies.,8,96,2
Handmade Leather Wallet,49.99,53,High-quality leather wallet with multiple compartments.,4,70,93
Smoked Salmon,14.99,58,"Deliciously smoked salmon, great for bagels.",2,56,51
Fleece Hoodie,39.99,66,Ultra-soft fleece hoodie for warmth and comfort during chilly days.,5,86,94
Vintage Button-Down Shirt,45.99,26,A retro-style button-down shirt with a relaxed fit.,1,52,60
Electric Butter Churn,49.99,79,Automatic churner for making butter at home.,7,43,5
Children's Educational Puzzle,19.99,66,Fun and educational puzzle set for kids.,2,2,36
Pineapple Chunks (canned),2.29,62,Sweet pineapple chunks in syrup.,12,23,100
Adjustable Stand for Tablets and Smartphones,19.99,6,Multi-angle stand for easy viewing of devices.,7,33,3
Smartphone Tripod with Bluetooth Remote,29.99,64,Tripod with wireless remote for effortless photo-taking.,3,91,54
Handcrafted Wooden Coasters,19.99,12,Set of unique wooden coasters for drinks and decor.,9,40,21
Electrolyte Water Bottle,34.99,30,Water bottle that tracks hydration levels and adds electrolytes.,3,17,45
Cheesy Broccoli Soup Mix,2.99,89,Just add water for a hearty cheese and broccoli soup in minutes.,12,67,76
Asian Noodle Salad Kit,4.99,96,A pre-packaged salad kit with noodles and Asian-style dressing.,6,93,18
Cotton Pajama Set,49.99,62,Soft cotton pajama set for cozy nights in.,6,94,52
Cotton Basic Tank,14.99,84,"Essential cotton tank top, perfect for layering.",4,8,80
Nut Butter Cups,3.99,47,Delicious dark chocolate with creamy nut butter inside.,6,94,81
Chicken Breasts,9.99,8,Juicy and tender boneless chicken breasts.,2,24,64
High-Pressure Handheld Shower Head,39.99,28,Shower head designed for a strong spray and complete coverage.,12,4,7
Kids' Activity Book,14.99,7,Fun book filled with puzzles and games for kids.,8,64,91
Maple Oatmeal,2.99,95,Delicious maple-flavored oatmeal for a quick breakfast.,7,1,98
Plant Pot Drip Trays,9.99,57,Prevent water damage with drip trays for potted plants.,2,26,57
Wall-Mounted Wine Rack,39.99,10,Stylish and modern holder for storing wine bottles on walls.,12,24,16
Kettle Chip Variety Pack,3.99,85,A crunchy collection of flavored kettle chips in a convenient pack.,12,56,52
Folding Pocket Knife,24.99,54,Compact knife with safety lock for everyday use.,5,38,39
Granola Cereal,4.49,12,"Crunchy granola with oats, nuts, and honey.",5,55,70
Foot Massager,79.99,29,Electric foot massager with heat settings.,5,67,50
Stylish Combat Boots,99.99,30,Bold combat boots that make a statement with any outfit.,3,78,30
Car Trash Can,12.99,97,Compact trash can for keeping your car clean.,11,97,89
Smart Doorbell,119.99,79,Wi-Fi enabled doorbell with HD camera and two-way audio.,11,17,19
Overnight Duffle Bag,34.99,84,Spacious duffle bag for weekend getaways.,5,56,58
Salsa,3.49,35,"Fresh and zesty salsa, perfect for nachos.",8,32,81
Leather Notebook Cover,29.99,32,Elegant cover that protects your notebook with style.,12,54,26
Telescope,159.99,33,Beginner telescope for stargazing and exploring.,10,44,99
Juice Extractor,99.99,19,Efficient juicer for fresh fruit and vegetable juices.,2,11,22
Classic Pesto Sauce,4.29,20,"Fresh basil pesto, perfect for pasta or as a sandwich spread.",10,67,8
Kitchen Knife Sharpening System,39.99,26,Professional sharpening system for kitchen knives.,3,97,58
Organic Green Tea,4.29,64,Delicate green tea leaves for a refreshing beverage.,10,39,93
Dark Chocolate Covered Pretzels,3.99,3,Crunchy pretzels dipped in rich dark chocolate.,8,11,9
Smartphone Tripod with Remote,29.99,23,Adjustable tripod with remote shutter for smartphones.,3,18,60
Fresh Lemons,0.75,40,Citrusy lemons perfect for drinks and cooking.,5,66,29
Portable Air Purifier,69.99,98,Compact air purifier to improve indoor air quality.,3,24,52
Oatmeal Raisin Cookies,3.49,8,Delicious cookies packed with oats and raisins.,1,15,69
Marinara Parmesan Baked Ziti,8.49,3,Ziti pasta baked with marinara and parmesan cheese,4,12,87
Wall-Mounted Bookshelf,39.99,82,Floating bookshelf to display your favorite books.,6,32,100
Spicy Avocado Salsa,4.49,60,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",2,65,42
Potato Wedge Seasoning,2.49,24,Seasoning mix for making crispy and flavorful potato wedges.,5,60,38
Portable Speaker Stand,39.99,28,Adjustable stand for portable speakers and devices.,11,10,42
Lentil Soup (canned),1.99,48,Hearty lentil soup for a quick meal.,1,81,45
Rustic Italian Bread,3.59,18,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",1,22,9
Drone,249.99,61,Beginner-friendly drone with HD camera.,3,46,86
Thai Green Curry Paste,2.49,28,A rich curry paste for making authentic Thai green curry at home.,10,21,64
Ready-to-Eat Chili,2.99,94,"Spicy chili in a can, ready to eat for a filling meal.",6,90,51
Basil Lemonade,2.99,100,Refreshing basil-infused lemonade for a cool drink.,8,21,59
Paprika,1.79,79,Rich and sweet paprika spice for seasoning.,5,36,65
Pumpkin Ice Cream,4.99,5,"Seasonal pumpkin ice cream, perfect for fall.",1,85,65
Wireless Smart Plug,19.99,51,Control home appliances remotely using your smartphone app.,1,11,78
Savory Oats,2.49,82,"Instant oats with a savory twist, such as herbs and spices.",1,16,68
Bamboo Cotton Tank Top,22.99,10,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",11,60,71
Smartphone Car Mount with Wireless Charging,39.99,39,Secure phone mount that wirelessly charges your device while driving.,6,60,89
Personal Blender with Cups,34.99,55,Compact blender that comes with travel cups for smoothies.,9,67,63
Smart Home Security Camera,79.99,36,Wi-Fi camera with motion detection for home security.,6,51,81
Homestyle Chicken Noodle Soup,2.99,54,Classic chicken noodle soup with tender chicken and vegetables.,3,90,19
Fire Roasted Salsa,2.49,84,Salsa made with fire-roasted tomatoes for an authentic flavor.,10,10,14
Frozen Spinach,1.99,33,"Chopped and frozen spinach, ideal for cooking and smoothies.",8,86,96
Indoor Plants,19.99,41,Assorted indoor plants for home decor.,2,26,49
Stylish Wireless Earbuds,59.99,81,True wireless earbuds with excellent sound quality.,6,64,32
Rustic Italian Bread,3.59,81,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",3,24,11
Handmade Soap Making Kit,34.99,74,Complete kit for crafting your own scented soaps.,5,46,67
Apple Sauce,2.19,58,"Unsweetened apple sauce, great for snacks or baking.",11,68,82
Tomatillo Salsa,3.29,42,Tangy salsa made from tomatillos and peppers.,10,58,20
Toasted Coconut Granola,4.99,61,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks.",7,7,86
LED Flashlight with Rechargeable Batteries,19.99,53,Bright flashlight with rechargeable batteries included.,7,69,36
Creamy Tomato Basil Soup,3.29,30,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",3,74,3
Maple Bacon Popcorn,3.49,24,Savory popcorn flavored with maple syrup and bacon bits.,7,21,8
Digital Photo Frame,79.99,77,Wi-Fi-enabled digital frame for displaying photos.,4,53,19
Suede Ankle Booties,79.99,12,"Chic suede ankle booties, perfect for dressing up or down.",4,33,96
Lentils,2.99,77,"High in protein, perfect for soups and stews.",12,17,56
Electric Food Steamer,59.99,84,Electric food steamer for healthy cooking.,3,89,1
Lightweight Backpacking Tent,129.99,41,Easy-to-set up tent designed for campers and hikers.,1,60,44
Luxury Bath Robe,49.99,98,Soft and plush robe for comfort after the shower.,11,83,89
Pasta Portion Control Measure,9.99,88,Tool for measuring perfect pasta portions every time.,6,82,23
Herbal Tea Infuser,9.99,79,Infuser for brewing loose-leaf herbal teas easily.,3,84,86
Eco-Friendly Notepad,8.99,5,Notepad made from recycled paper for sustainable note-taking.,7,63,25
Self-Stirring Mug,19.99,83,Automated stirring for your drinks with just a press of a button.,9,45,9
Roasted Chickpeas,2.99,42,Crispy roasted chickpeas seasoned to perfection,6,10,23
Multicolored LED Strip Lights,29.99,25,Flexible LED lights for creative home lighting designs.,11,87,41
Chocolate Almond Milk,2.79,73,Rich and creamy almond milk with a hint of chocolate.,10,21,92
Chili Powder,2.09,65,Spicy chili powder to add heat to dishes.,10,83,77
Lockable Bicycle Chain,19.99,29,Heavy-duty chain lock for securing bicycles.,3,77,91
Handheld Vacuum,79.99,24,Cordless handheld vacuum for quick cleanups.,9,43,100
Tahini,5.49,7,Creamy tahini made from ground sesame seeds.,7,72,75
Foam Building Blocks for Kids,22.99,27,Soft foam blocks perfect for building and imaginative play.,12,95,26
Portable Air Compressor,44.99,57,Compact air compressor for inflating tires and sports equipment.,1,57,16
Garden Tool Belt,22.99,23,Handy belt for carrying garden tools while working.,7,96,5
Chocolate Coconut Protein Balls,2.99,15,No-bake protein balls with chocolate and coconut flavors.,8,3,24
Almond Milk Yogurt,1.99,98,"Creamy yogurt made from almond milk, vegan-friendly.",8,33,98
Microfiber Cleaning Cloths,9.99,14,Pack of ultra-soft microfiber cloths for cleaning.,7,52,93
Smartphone Photography Ring Light,29.99,9,Portable ring light that enhances your photos with perfect lighting.,1,16,2
Sweet Chili Sauce,2.99,11,"A sweet and spicy sauce, great for dipping or cooking.",2,17,94
Emergency Preparedness Kit,99.99,72,Complete kit for emergency situations including food and water.,9,80,68
Portable Speakers,69.99,92,Bluetooth speakers with excellent sound quality.,8,60,48
Gaming Mousepad,19.99,72,Oversized gaming mousepad with smooth surface.,2,29,74
Pet Leash,15.99,78,Durable pet leash with comfortable handle.,3,63,85
Apple Juice,3.29,34,"Refreshing apple juice, 100% juice with no added sugar.",11,32,39
Almond Milk Yogurt,1.99,45,"Creamy yogurt made from almond milk, vegan-friendly.",2,38,54
Thai Green Curry Paste,2.49,25,A rich curry paste for making authentic Thai green curry at home.,7,97,80
Portable Phone Mug Holder,14.99,31,Convenient holder for drinks and phones while driving.,10,33,100
Wireless Earbuds,69.99,90,True wireless earbuds with touch control.,12,75,28
Classic White T-Shirt,19.99,97,A timeless wardrobe staple crafted from soft cotton with a perfect fit.,2,93,15
Hydration Backpack,39.99,40,Lightweight backpack with an insulated water reservoir for hydration on the go.,3,17,58
Thai Basil Fried Rice,5.99,42,Fragrant fried rice with authentic Thai basil and veggies.,4,80,57
Floral Summer Dress,39.99,92,Light and breezy dress perfect for summer outings with a vibrant floral pattern.,4,52,1
Electric Heating Pad,20.99,25,Microwaveable heating pad for muscle pain relief and relaxation.,12,73,69
Sesame Ginger Dressing,4.09,57,"Tangy dressing perfect for salads and marinades, with sesame and ginger flavors.",6,45,64
Hibiscus Herbal Tea,3.29,21,"Floral and refreshing herbal tea, great hot or iced.",8,99,8
Savory Oatmeal Cups,1.99,22,"Savory oatmeal ready to eat, great for breakfast or a snack.",10,52,65
Dark Chocolate Covered Almonds,7.19,9,Roasted almonds dipped in rich dark chocolate.,6,29,10
Drone,249.99,76,Beginner-friendly drone with HD camera.,4,16,81
Portable Solar Generator,399.99,68,Eco-friendly generator for outdoor adventures.,6,95,97
Chili Garlic Sauce,2.49,56,"Spicy sauce made with chili peppers and garlic, great for stir-frying.",6,45,25
Black Bean Spaghetti,3.99,90,"High-protein pasta made from black beans, gluten-free.",6,72,99
Wireless Earbuds,69.99,49,True wireless earbuds with touch control.,5,89,51
Samoas Cookie Mix,5.59,70,Baking mix to create your favorite Samoa-style cookies at home.,3,33,56
Spicy Hummus,3.49,69,"Creamy hummus with a kick of spice, great for dipping.",9,1,42
Black Bean Soup,3.49,4,"Spicy and flavorful soup made with black beans, perfect as a meal or starter.",12,79,18
Stylish Combat Boots,99.99,65,Bold combat boots that make a statement with any outfit.,7,36,91
Herb Drying Rack,22.99,90,Mesh drying rack for preserving herbs and flowers.,10,32,88
Smartphone Photography Ring Light,29.99,75,Portable ring light that enhances your photos with perfect lighting.,3,30,76
Electric Food Slicer,99.99,93,"Versatile slicer for meats, cheeses, and vegetables.",6,30,94
Pet Hair Remover,9.99,92,Effective roller for removing pet hair from furniture.,1,54,63
Cordless Electric Screwdriver,39.99,92,Rechargeable screwdriver with multiple bits for DIY projects.,10,22,95
Wireless Game Controller,39.99,28,Ergonomic wireless controller for gaming consoles.,6,96,39
Creamy Avocado Dip,3.49,74,"Rich and creamy dip made with real avocado, great for chips.",6,40,47
Adjustable Kneeling Pad,18.99,85,Comfortable kneeling pad for gardening or home projects.,6,3,37
Summer Tank Dress,39.99,51,"A lightweight tank dress, ideal for warm weather outings.",7,79,97
Self-Massaging Pillow,49.99,56,Comfortable pillow with built-in massage features.,2,30,90
Coconut Water,2.49,30,"Refreshing coconut water, perfect for hydration.",9,52,7
Cat Scratching Post with Toys,44.99,10,Multi-level scratching post to keep your cat entertained.,2,56,31
Spicy Garlic Edamame,3.99,76,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",10,51,58
Picnic Blanket,29.99,29,Waterproof picnic blanket for outdoor fun.,7,88,33
Electric Stool Heater,29.99,78,Heated stool cover for extra comfort during winter.,1,50,56
LED Desk Light,34.99,82,Adjustable LED desk light with brightness settings.,7,71,19
Vegetable Chips,3.99,45,Crispy and crunchy snack made from assorted vegetables.,11,88,93
Wild Rice & Quinoa Mix,2.99,58,"Nutritious blend of wild rice and quinoa, perfect as a side dish.",8,18,97
USB Wall Charger,19.99,10,Multiple USB ports for charging devices simultaneously.,3,18,60
Oven Thermometer,11.99,29,High-precision oven thermometer for accurate cooking.,5,7,2
Adjustable Kitchen Broom Stand,14.99,78,Space-saving broom holder for organized cleaning supplies.,11,40,12
Skincare Fridge,39.99,14,Small fridge designed to keep skincare products cool and fresh.,9,63,9
Peach Halves (canned),2.49,13,"Sweet peach halves packed in juice, great for desserts.",10,36,42
Luxury Memory Foam Mattress Topper,129.99,20,Adds extra comfort to your mattress for a better night's sleep.,11,94,63
Watercolor Paint Set,19.99,91,Vibrant watercolor paints that come with brushes and palettes.,4,12,98
High-Pressure Handheld Shower Head,39.99,11,Shower head designed for a strong spray and complete coverage.,5,54,55
Picnic Blanket,29.99,26,Waterproof picnic blanket for outdoor fun.,7,72,32
Running Shorts,34.99,99,Lightweight and breathable running shorts for your workouts.,11,76,56
Safety Pin Dispenser,5.99,53,Handy dispenser for quick access to safety pins.,10,77,40
Floral Wrap Top,49.99,59,A feminine wrap top with a beautiful floral print.,5,27,87
Berries Medley,6.99,51,"A mix of fresh raspberries, blueberries, and blackberries.",1,72,8
Frozen Edamame,3.29,50,"Lightly salted frozen edamame, a protein-packed snack.",2,53,58
Silicone Baking Molds,15.99,80,Set of flexible molds for baking cakes and pastries.,9,12,73
